id,barcode,name,brand,source,ingredients,countries,allergens_confirmed,allergens_may_contain
1902812,071725728593,ASIAN BLEND,"Bay Valley Foods, LLC",USDA,"RICE CRACKERS (GLUTINOUS RICE, SOY SAUCE (WATER, SOYBEANS, WHEAT, SALT). SUGAR, MODIFIED TAPIOCA STARCH, SESAME SEEDS, SEAWEED, CHILI POWDER, COLOR ADDED *(YELLOW 6, YELLOW 5)), SESAME STICKS (UNBLEACHED WHEAT FLOUR (CONTAINS MALTED BARLEY FLOUR AS A NATURAL ENZYME ADDITIVE), SOYBEAN OIL, SESAME SEEDS, BULGUR WHEAT, SALT, COLORED WITH (BEET POWDER AND TURMERIC)), WASABI PEAS (GREEN PEAS, MODIFIED CORN STARCH, CORN STARCH, SUGAR, SALT, SOYBEAN OIL, WASABI, COLORED WITH (YELLOW 5, BLUE 1)), WASABI RICE CRACKERS (GLUTINOUS RICE, SOY SAUCE (WATER, SOYBEANS, WHEAT, SALT), SUGAR, WASABI POWDER, TAPIOCA STARCH, MODIFIED TAPIOCA STARCH, CHILI, COLORED WITH (YELLOW 5, BLUE 1).",United States,"en:soybeans, en:wheat, en:sesame-seeds, en:mustard, en:barley",
2068402,762089266004,ASIAN CHOP,"Udi, The Sandwichman, Inc.",USDA,"NAPA CABBAGE, CHICKEN, SOY GINGER DRESSING (HONEY, CANOLA OIL, LIME JUICE, PICKLED GINGER, SOY SAUCE, TOFU [WATER, ORGANIC SOYBEANS, NIGARI, GYPSUM], GARLIC), CARROTS, ALMONDS, WONTON STRIPS (ENRICHED WHEAT FLOUR [WHEAT FLOUR], NIACIN, REDUCED IRON, THIAMIN, MONONITRATE, RIBOFLAVIN, FOLIC ACID, ENZYMES, VEGETABLE OIL [SOYBEAN AND/OR COTTONSEED OIL], WATER, CORNSTARCH, SALT, SODIUM BENZOATE), GREEN ONION.",United States,"en:soybeans, en:wheat, en:tree-nuts",
2068400,762089264000,ASIAN CHOP,"Udi, The Sandwichman, Inc.",USDA,"NAPA CABBAGE, CHICKEN, SOY GINGER DRESSING (HONEY, CANOLA OIL, LIME JUICE, PICKLED GINGER, SOY SAUCE, TOFU [WATER, ORGANIC SOYBEANS, NIGARI, GYPSUM, GARLIC), CARROTS, WONTON STRIPS (ENRICHED WHEAT FLOUR [WHEAT FLOUR], NIACIN, REDUCED IRON, THIAMIN, MONONITRATE, RIBOFLAVIN, FOLIC ACID, ENZYMES, VEGETABLE OIL [SOYBEAN AND/OR COTTONSEED OIL], WATER, CORNSTARCH, SALT, SODIUM BENZOATE, ALMONDS, GREEN ONION.",United States,"en:soybeans, en:wheat, en:tree-nuts",
2068695,826766783779,ASIAN GRILLER,"Renaissance Food Group, LLC",USDA,"SNAP PEAS, ZUCCHINI SQUASH, YELLOW SQUASH, RED ONIONS.",United States,,
2375864,072431045042,ASIAN MIX,Lunds Inc,USDA,"ROASTED PEANUTS (PEANUTS [USA], HIGH OLEIC SUNFLOWER OIL, SEA SALT), SESAME STICK (UNBLEACHED WHEAT FLOUR [CONTAINS MALTED BARLEY FLOUR AS AN ENZYME ADDITIVE], SOYBEAN OIL, SESAME SEEDS, BULGUR WHEAT, SALT, BEET POWDER [COLOR], TURMERIC [COLOR]), RICE CRACKER ([CHINA/MALAYSIA], GLUTINOUS RICE, SOY SAUCE [WATER, SOYBEAN, WHEAT, SALT], SUGAR, STARCH, SESAME SEEDS, SEAWEED, CHILI, ARTIFICIAL COLOR [US FD&C YELLOW NO. 5 & 6]), FRIED GREEN PEAS ([MALAYSIA] PEAS, PALM OIL, ARTIFICIAL COLORS: FD &C YELLOW NO.5 & BLUE NO.1",United States,"en:peanuts, en:soybeans, en:wheat, en:sesame-seeds, en:barley",
2179467,825306011945,ASIAN NOODLES,"Aramouni Gourmet Foods, Inc.",USDA,"SPAGHETTI PASTA (SEMOLINA (WHEAT), DURUM WHEAT FLOUR) CARROTS - GREEN ONIONS - CILANTRO TAMARI SAUCE (WATER, SOYBEANS, SALT. CONTAINS SOY) - LIME JUICE SUNFLOWER OIL - GARLIC - GINGER BLACK SESAME SEEDS - CRUSHED RED PEPPER.",United States,"en:soybeans, en:wheat, en:sesame-seeds",
2454190,725439995481,ASIAN PIZZA,"Delhaize America, Inc.",USDA,"NAAN CRUST: ENRICHED WHEAT FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, ORGANIC WHEAT STARCH, SALT, ORGANIC WHEAT GLUTEN, ORGANIC SUGAR, ORGANIC SOY FLOUR, CONTAINS 2% OR LESS OF THE FOLLOWING: OLIVE AND SUNFLOWER OIL, YEAST, VINEGAR, CULTURED WHEAT FLOUR, ORGANIC BAKING POWDER, LEAVENING (GLUCONO-DELTA-LACTONE, SODIUM BICARBONATE, MONOPOTASSIUM TARTRATE), GUAR GUM, MONOCALCIUM PHOSPHATE, YEAST, SODIUM ACID PYROPHOSPHATE, XANTHAN GUM, ENZYMES, ASCORBIC ACID, CORN STARCH, SUGAR, TERIYAKI SAUCE: SUGAR, SOY SAUCE (WATER, SOYBEANS, RICE, SALT), WATER, MIRIN WINE (GLUCOSE SYRUP, WATER, ALCOHOL, RICE, CORN SYRUP, SALT), CORN STARCH, SOYBEAN OIL, LACTIC ACID, GARLIC POWDER, XANTHAN GUM, ONION POWDER, SPICE, ASIAN STYLE CHICKEN: CHICKEN THIGH MEAT, SEASONING (SUGAR, DEHYDRATED RED MISO [FERMENTED SOYBEANS AND SALT], DEHYDRATED SOY SAUCE [SOY SAUCE {WHEAT, SOYBEANS, SALT}, MALTODEXTRIN AND SALT], DEHYDRATED GARLIC, SALT, SPICES INCLUDING GINGER, DEHYDRATED ONION, VINEGAR POWDER [MALTODEXTRIN, WHITE DISTILLED VINEGAR, MODIFIED FOOD STARCH], CITRIC ACID), SALT, DEXTROSE, GARLIC, DEHYDRATED PARSLEY, NATURAL FLAVORINGS, SPICES, PART SKIM MOZZARELLA CHEESE: PASTEURIZED CULTURED PART-SKIM COW'S MILK, SALT, ENZYMES, ASIAN MIREPOIX: GINGER, BASIL, CILANTRO, GARLIC, GREEN ONIONS, JALAPENOS, BELL PEPPERS, ROASTED RED PEPPERS, RED ONIONS",United States,"en:soybeans, en:milk, en:wheat, en:barley",
1935705,072655405264,ASIAN POTSTICKERS,"Conagra Brands, Inc.",USDA,"VEGETABLE POTSTICKERS (FILLING [ CABBAGE, VERMICELLI (MUNG BEAN, WATER), BAKED TOFU (TOFU [ WATER, WHOLE SOYBEAN, NIGARI], TAMARI [ WATER, SOYBEANS, SALT, ALCOHOL, WHEAT], NATURAL FLAVORS, SPICES), BULGUR WHEAT, PRECOOKED RICE, WATER CHESTNUTS, GREEN BEANS, ONIONS, CARROTS, SOY SAUCE (WATER, WHEAT, SOYBEANS, SALT), SESAME OIL, EVAPORATED CANE JUICE, SALT, XANTHAN GUM, SPICE], WRAPPER [ WHEAT FLOUR, WATER, CORN STARCH, SOYBEAN AND/OR CANOLA OIL]), COOKED WHOLE GRAIN BROWN RICE, WATER, SUGAR, CARROTS, RED PEPPERS, SAKE, RICE VINEGAR, SOY SAUCE (WATER, WHEAT, SOYBEANS, SALT, ALCOHOL, VINEGAR, LACTIC ACID), SCALLIONS, CORN STARCH, GINGER, SESAME OIL, GARLIC PUREE, LOCUST BEAN GUM, SPICES.",United States,"en:soybeans, en:wheat, en:sesame-seeds",
1935648,072655232211,ASIAN POTSTICKERS,"Conagra Brands, Inc.",USDA,"VEGETABLE POTSTICKERS (FILLING [ CABBAGE, VERMICELLI (MUNG BEAN, WATER), BAKED TOFU (TOFU [ WATER, WHOLE SOYBEANS, NIGARI], TAMARI [ WATER, SOYBEANS, SALT, ALCOHOL, WHEAT], NATURAL FLAVORS, SPICES), BULGUR WHEAT, PRECOOKED RICE, WATER CHESTNUTS, GREEN BEANS, ONIONS, WATER, CARROTS, SOY SAUCE (WATER, WHEAT, SOYBEANS, SALT), SESAME OIL, EVAPORATED CANE JUICE, SALT, XANTHAN GUM, SPICE], WRAPPER [ WHEAT FLOUR, WATER, CORN STARCH, SOYBEAN AND/OR CANOLA OIL]), COOKED WHOLE GRAIN BROWN RICE, WATER, CARROTS, RED PEPPERS, SUGAR, SAKE, RICE VINEGAR, SOY SAUCE (WATER, WHEAT, SOYBEANS, SALT, ALCOHOL, VINEGAR, LACTIC ACID), SCALLIONS, CORN STARCH, GARLIC PUREE, GINGER, LOCUST BEAN GUM, SPICES. CONTAINS: WHEAT, SOY.",United States,"en:soybeans, en:wheat, en:sesame-seeds",
2614643,0022929302065,ASIAN QUINOA,Good Groceries Company Inc.,USDA,"PRECOOKED QUINOA, TOFU (WATER, SOYBEANS, CALCIUM SULFATE, NIGARI), ZUCCHINI, CARROTS, EXPELLER PRESSED CANOLA OIL, ONIONS, SOY SAUCE, GARLIC, GINGER, CELERY FLAVORING, DEHYDRATED BLACK MUSHROOMS, TURMERIC EXTRACT, PARSLEY, GUAR GUM",United States,"en:soybeans, en:celery",
2568522,0071279302027,ASIAN SALAD,Fresh Express Incorporated,USDA,"VEGETABLES: GREEN CABBAGE, ROMAINE LETTUCE, RED CABBAGE, CARROTS, GREEN ONION, DRESSING: WATER, SOYBEAN OIL, SUGAR, SOY SAUCE (WATER, WHEAT, SOYBEANS, SALT), SESAME OIL, DISTILLED VINEGAR, SALT, DEXTROSE, PINEAPPLE JUICE CONCENTRATE, DRIED GINGER, XANTHAN GUM, SPICE, SESAME SEEDS, NATURAL FLAVORS, ROSEMARY EXTRACT, MODIFIED CORN STARCH, WONTON STRIPS: WHEAT FLOUR, NON-GMO CANOLA OIL, WATER, SALT, ALMONDS",United States,"en:soybeans, en:wheat, en:tree-nuts, en:sesame-seeds",
2132626,860291001106,ASIAN SEASONING,"the bamboo chef, LLC",USDA,"SALT, SPICES, GARLIC POWDER, ONION POWDER, PAPRIKA",United States,,
2597428,0070560978163,ASIAN VEGETABLES,The Pictsweet Company,USDA,"BROCCOLI, CARROTS, GREEN BEANS, SUGAR SNAP PEAS, CELERY, RED PEPPERS, MALTODEXTRIN, SOY SAUCE POWDER (WHEAT, SOYBEANS, SALT), SUGAR, GARLIC, SALT, XANTHAN GUM, CITRIC ACID, DISODIUM INOSINATE & GUANYLATE, SODIUM DIACETATE, ARTIFICIAL FLAVOR",United States,"en:soybeans, en:wheat, en:celery, en:barley",
2285145,033844008062,"ASIAN BLEND FIVE SPICE, ASIAN BLEND",Badia Spices Inc.,USDA,"CINNAMON, ANISE, GINGER, FENNEL AND CLOVES.",United States,,
1689603,028000809126,"ASIAN GARLIC SEASONING WRAPS, ASIAN GARLIC",Nestle USA Inc.,USDA,"PALM OIL WITH SUNFLOWER LECITHIN AND ROSEMARY EXTRACT (ANTIOXIDANT), SALT, HYDROLYZED WHEAT GLUTEN (WHEAT GLUTEN, SALT, FRACTIONATED PALM OIL, DEXTROSE, SUGAR), HIGH OLEIC SUNFLOWER OIL, DRIED GARLIC, GARLIC POWDER, SUGAR, SPICES, YEAST EXTRACT, GARLIC EXTRACT, NATURAL & ARTIFICIAL FLAVOR BLEND, DRIED PARSLEY, TOMATO POWDER, TURMERIC, BARLEY MALT, CITRIC ACID, FLAVORING, VEGETABLE OIL.",United States,"en:soybeans, en:wheat, en:barley",
2305973,028841214943,"ASIAN GINGER BBQ SAUCE, ASIAN GINGER","Janecor, Inc.",USDA,"TOMATO PUREE (TOMATO CONCENTRATE [WATER, TOMATO PASTE], CITRIC ACID), BROWN SUGAR, DISTILLED VINEGAR, SOY SAUCE (WATER, WHEAT, SOYBEANS, SALT, SODIUM BENZOATE [PERSERVATIVE]) GARLIC (GARLIC, WATER, CITRIC ACID), GROUND GINGER, SPICES, CURRY POWDER (SPICES INCLUDING TURMERIC),",United States,"en:soybeans, en:wheat",
2271847,891551000584,"ASIAN GINGER SUPERFOOD DRESSING, ASIAN GINGER",Foods Alive Inc.,USDA,"HEMP OIL*, BLACK SESAME OIL*, FILTERED WATER, BRAGG LIQUID AMINOS (SOY), COCONUT SUGAR*, RICE VINEGAR*, GINGER POWDER*, CHIA SEED*, HIMALAYAN PINK SALT, GARLIC GRANULES*, CHILI POWDER*, CAYENNE PEPPER*.",United States,"en:soybeans, en:sesame-seeds",
